"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "Time_Step"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          4,           0,           0,             5e-08,             5e-08,      -2.481632604,      0.2621203495,      0.2089129438,       2.928884887,       2.074545049,       5.117850541
          4,           0,          10,             5e-08,             5e-08,      -3.874642869,      -1.166852535,      -1.312875175,       1.612358324,       0.539344744,       4.941860291
          4,           0,          20,             5e-08,             5e-08,      -4.015099727,      -1.410553829,      -1.504404447,        1.47635167,      0.3973591231,       4.794228326
          4,           0,          29,             5e-08,             5e-08,      -4.098410621,      -1.545793485,      -1.676824576,       1.393176221,      0.3168416829,       4.680237565
          5,           0,           0,             1e-07,             5e-08,      -2.481683926,      0.2574983039,      0.2240621041,       2.927300195,       2.044090476,       4.973788318
          5,           0,          10,             1e-07,             5e-08,      -3.846945252,      -1.164933654,      -1.395840053,       1.638771939,      0.3779729649,       4.687311961
          5,           0,          20,             1e-07,             5e-08,      -3.996402003,      -1.406265723,      -1.632376313,       1.488328809,      0.2209864623,       4.465387999
          5,           0,          29,             1e-07,             5e-08,       -4.10705489,      -1.541543034,       -1.75409763,        1.37556865,      0.1336427167,       4.294376355
          6,           0,           0,           1.5e-07,             5e-08,      -2.482023641,      0.2535087375,      0.2166194515,       2.925245357,       2.013920129,       4.850119273
          6,           0,          10,           1.5e-07,             5e-08,      -3.871489325,      -1.190566773,      -1.399035702,       1.606539693,       0.369167902,       4.567933692
          6,           0,          20,           1.5e-07,             5e-08,      -4.044135581,      -1.426778774,       -1.58468183,       1.432769322,      0.2200926771,       4.343751462
          6,           0,          29,           1.5e-07,             5e-08,      -4.169572266,       -1.55930263,       -1.69716937,       1.304393266,      0.1373082884,       4.170249268
          7,           0,           0,             2e-07,             5e-08,      -2.482753796,      0.2492900915,      0.2009348686,       2.922891017,       1.986075751,       4.727462207
          7,           0,          10,             2e-07,             5e-08,       -3.93202553,      -1.226741528,       -1.37735741,       1.538499853,      0.3549377544,       4.440023014
          7,           0,          20,             2e-07,             5e-08,      -4.126271907,      -1.460301181,      -1.565022412,       1.340501377,      0.2160395293,       4.210971432
          7,           0,          29,             2e-07,             5e-08,      -4.271218425,      -1.592627047,      -1.668897044,       1.188719453,      0.1375452685,       4.034054665
          8,           0,           0,           2.5e-07,             5e-08,      -2.482759668,      0.2459565776,       0.182977631,       2.921911224,        1.96132541,       4.616324698
          8,           0,          10,           2.5e-07,             5e-08,      -4.011244782,      -1.267680645,      -1.373166671,       1.449771335,      0.3482582724,       4.317397755
          8,           0,          20,           2.5e-07,             5e-08,      -4.241930198,      -1.501613311,      -1.542593358,       1.210845819,       0.215623558,        4.08721986
          8,           0,          29,           2.5e-07,             5e-08,      -4.403308662,      -1.634071552,      -1.637090086,       1.040968738,      0.1356840508,       3.909019293
          9,           0,           0,             3e-07,             5e-08,      -2.481590285,      0.2438912632,       0.164945089,        2.92290994,       1.939678604,       4.522642669
          9,           0,          10,             3e-07,             5e-08,      -4.087632751,      -1.304271896,      -1.370529255,        1.36726103,      0.3430906517,       4.216628211
          9,           0,          20,             3e-07,             5e-08,      -4.324783457,      -1.537078224,      -1.542342942,       1.125504817,      0.2111325557,       3.983156707
          9,           0,          29,             3e-07,             5e-08,      -4.456284222,      -1.667273913,       -1.65193834,      0.9967583772,      0.1266874257,       3.802124454
         10,           0,           0,           3.5e-07,             5e-08,      -2.479462917,      0.2430548687,      0.1475695955,       2.925478926,       1.920929173,       4.450866199
         10,           0,          10,           3.5e-07,             5e-08,      -4.108174953,      -1.331155168,      -1.396252121,       1.351077157,       0.335078707,       4.136111412
         10,           0,          20,           3.5e-07,             5e-08,      -4.311665899,      -1.558651114,      -1.589588572,       1.151932671,      0.2009383955,       3.899464744
         10,           0,          29,           3.5e-07,             5e-08,      -4.410030932,       -1.67968796,      -1.715870775,       1.059748416,      0.1109197914,       3.718822399
